id,nombre_usuario,comentario,calificación
1,juan,"Me encantó el producto, excelente servicio",5
2,maria,"No llego a tiempo y la atención fue mala",1
3,ana,"Buen producto, aunque esperaba más",4
4,carlos,"Es aceptable, nada especial",3
5,luis,"Muy mala experiencia, no lo recomiendo",1
6,sofia,"Perfecto, estoy muy satisfecho",5
7,diego,"El precio es alto para lo que ofrece",2
8,laura,"Cumple con lo esperado",4
9,paolo,"Neutral, no tengo opinión fuerte",3
10,rosa,"Servicio extraordinario y rápido",5
